fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 213443	-0.697255934637536	4005	2000	3	5	8360000	89
20220520 213523	-0.197629634664838	2977	1488	16	5	9161000	90
20220520 213606	-0.484399688916525	1686	840	14	5	9866000	91
20220520 213648	-0.504237303398256	1700	847	17	5	9862000	92
20220520 213721	-0.999359139697956	1014	507	6	5	9367000	93
20220520 213805	-0.519239955512772	1622	808	13	5	9469000	94
20220520 213847	-0.460329016471676	1769	882	16	5	9505000	95
20220520 213936	-0.352655602402161	955	473	14	5	9822000	96
20220520 214022	-0.690976383382571	1167	579	18	5	9723000	97
20220520 214103	-0.666131071775673	2387	1191	14	5	9540000	98
20220520 214151	-0.861692926024746	844	421	20	5	9314000	99
20220520 214211	-0.293920686815196	393	193	3	5	8690000	100
20220520 214254	-0.322272102578684	48	1	9	5	8712000	101
20220520 214334	-0.715813792322423	2722	1350	8	5	8996000	102
20220520 214417	-0.899489068425951	2481	1237	20	5	9108000	103
20220520 214507	-0.669185516454592	1260	630	14	5	9558000	104
20220520 214554	-0.758166080837017	1210	605	11	5	9348000	105
20220520 214642	-0.489805288547729	1212	602	17	5	9772000	106
20220520 214724	-0.917360504390067	760	372	8	5	9325000	107
20220520 214815	-0.999998350480386	900	450	18	5	9566000	108
20220520 214902	-0.325546315938588	1269	633	15	5	9557000	109
20220520 214946	-0.496599225527904	1638	809	20	5	9337000	110
20220520 215027	-0.575212852342987	2211	1104	17	5	9122000	111
20220520 215102	-0.694852398149681	3081	817	7	5	9154000	112
20220520 215139	-0.440747658353018	1699	843	8	5	9869000	113
20220520 215222	-0.192688551876049	1815	903	14	5	9427000	114
20220520 215259	-0.335774262746765	3992	1995	19	5	8345000	115
20220520 215340	-0.999666206594774	2380	1189	15	5	9540000	116
